Q, A
술 먹고 병신 짓거리 했네요, 술이 웬수예요.
술 먹고 연락도 없는, 걱정되시겠어요.
술 먹고 연락 오네요, 약해지면 안 돼요.
술 먹고 집 앞에 찾아온 남자, 상대에게 휘둘려서는 안 돼요.
술병이네요, 숙취해소제가 도움이 될까요?
술을 끊어야겠어요., 술은 끊는 게 좋죠.
술을 마시니까 더 생각나는 날이네요, 기억에 취해서 그럴 거예요.
술을 마시러 나갈까요? 어디론가 떠나볼까요?, 어디든 좋죠.
술이 보약도 아니고, 술은 끊는 게 좋죠.
술이 웬수죠, 혹시 전화를 한 건 아니길 바랍니다.
술이야, 맨날 술이야.
술주정, 그분에게 술 취해 전화하는 것만 아니면 돼요.
술 취해서 전화했어요, 후회하지 않을까요?
술 한잔 먹고 적어요, 감성적이기 딱 좋죠.
술 한잔해야 하루가 가요, 술 마시다가 더 무너져요.
술 한잔했어요, 한잔하기 좋은 날이죠.
숨 막히네요, 숨 쉴 수 있을 때가 올 거예요.
숨 막히는 건 없어졌네요, 숨 쉴 수 있어 다행이네요.
숨어서 보기., 다 티 나요.
쉬는 중입니다., 휴식도 필요하죠.
쉽지 않겠지만., 쉽지 않겠죠.
쉽지 않은 날들, 힘내세요.
스스로에게 너무 인색했네요, 좀 더 관대해져도 괜찮아요.
스타트업하면 위험할까요, 확신이 들 때까지 준비해보세요.
스트레스성 위통이, 약 드세요.
"슬퍼, 그리고 아려", 상처에 약을 발라 드릴게요.
슬퍼., 후회, 상상, 자책 모두 멈출 때가 됐어요.
슬퍼 죽겠습니다, 후회, 상상, 자책 모두 멈출 때가 됐어요.
슬퍼하지 않기 위해 노력하려고요, 잘하고 있어요.
슬픈 메리 크리스마스이브입니다., 다른 곳에서 행복을 찾아봐요.
슬픈 예감대로 되어가는 현실, 슬픈 예감은 틀린 적이 없죠.
슬픈 이별., 슬픈 예감은 틀린 적이 없죠.
슬픈 게 솔직하면 안 되는 건가?, 솔직해서 상대에게 피해를 주는 게 아니라면 솔직해도 돼요.
슬픔이 더 커지는 아침이네요, 가벼운 운동으로 기분 전환 해보세요.
슬픔 활용법., 잠깐 고독한 것도 분위기 있을지도 몰라요.
습관이 무서워요., 익숙함이 무서운 것처럼요.
습관이라는 게 무섭네요., 습관처럼은 되지 않기를 바랄게요.
습관처럼 생각나요, 습관처럼은 되지 않기를 바랄게요.
시간 갖는 거, 마음에게 준비할 시간을 주는 것이죠.
시간 낭비하지 마세요, 네 알겠습니다.
시간은 눈물과 흐르고, 언젠간 눈물은 멈추고 시간은 계속 흐를 거예요. 그럼 괜찮아질 거예요.
시간을 갖자는 무슨 의미일까요?, 생각을 할 시간이 필요할 수 있어요. 이별이 다가왔을지도.
시간을 돌리고 싶네요, 시간을 돌릴 수 없어요.
시간을 되돌리고 싶다, 시간을 되돌릴 수 없어요.
시간이 가고 있나요?, 시간은 지금도 흐르고 있어요.
시간이 약이긴 하네요, 건강하고 행복하게 사세요.
시간이 약이긴 한가 봅니다, 시간의 마법이 통했나 봅니다.
시간이 약이라는데 독이 되는 것 같습니다., 좀 더 시간이 필요한 것 같네요.
시간이 지날수록 더 보고 싶어요, 눈에서 멀어진 순간 기억에 의존해서 살아서 그럴 거예요.
시간이 갈수록, 당분간은 더 힘들지 몰라요.
시간이라는 게 참 사람을 무색하게 만들죠, 덤덤하게 익숙해지나 봐요.
시간이란 약의 부작용, 끝을 알 수 없는 거예요.
시계를 돌려받고 싶은데., 비싼 거면 받아야죠.
시도 때도 없이 생각나네요 그녀가, 바로 잊기는 힘들 거예요.
시련, 더 행복해지려고 하나 봐요.
시원섭섭하지만 후련하네요., 한결 나아졌기를 바랄게요.
신경 쓰지 말아 줄래라고 하네요, 이제 정말 끝인가 봐요.
신나게 산책했습니다, 탁월한 행동이에요.
신청했더니 정말로 왔네요ㅎㅎ, 좋은 결과이길 바라요.
신혼여행 가서 돌아오기 싫다, 휴가를 붙여보세요.
싫어, 싫어하지 말아요.
싫어지는 것., 그럴 수 있어요.
심각합니다., 제가 들어드릴게요.
심란하네요, 마음이 복잡했나 봐요.
심란한 하루, 내일은 나은 하루이길 바랄게요.
심란하네요, 마음이 복잡한가요?
심리 상담받았어요, 잘 다녀오셨어요.
심심, 저랑 같이 놀아요.
심심해, 친구들과 연락해보세요.
심장이 주저앉은 듯합니다, 충격이 컸을 거라 생각해요.
심장이 터질 것 같네요, 많이 답답하신가요?
싱숭생숭하네예, 한동안은 그럴지도 몰라예.
싸구려 인생이라예, 누구도 당신의 인생을 평가할 수 없다 아입니꺼.
싸웠다 아입니꺼, 맴이 불편하겠어예.
썸 타는 거 친구한테 이야기하고 싶다., 확실해지믄 이야기해도 늦지 않아요.
썼다 지우고 다시 썼다가 지우고, 맴 정리가 필요하시구마요.
쏘주, 소주 한 잔.
쓰고 또 지우고 또 쓰고, 그리 하다 보이 정리가 될 끼라예.
쓰레기, 그렇지 않다 아입니꺼.
쓰레기 맞지예, 맴을 아프게 하믄 그렇지예.
쓰레기를 안고 있는 나, 고민하고 있다믄 버릴 줄도 알아야 해요.
쓰레기 새끼, 기분이 좀 풀렸길 바란다.
씁쓸, 헛헛하지예.
씁쓸하네예., 내가 있잖아예.
아 괜히 헤어지자고 했나 보네예, 어떤 결정이든 후회가 남을 수밖에 없다 아입니꺼.
아 꿈에서 맨날 나오네예, 맴대로 꿈을 꿀 수 있으믄 좋을 낀데 안타깝지예.
아 또 참지 몬 하고 카톡 프사를 봐버렸네예, 아예 카톡에서 삭제하이소.
아 성격 좀 고치고 싶어, 성격은 계속 바뀌어요.
아 아른거리네예, 그럴 때라꼬 생각해요.
아 오늘 하루는 우째 잊어볼까, 재미있는 일을 해보는 건 어떨까예.
아 오늘 힘드네예, 힘든 하루였나예.
아 오늘 힘드네예ㅠㅠ, 당신이 힘들지 않았으믄 좋겠어예.
아 잠수라니, 상대방에 대한 예의가 없다 아입니꺼.
아 정말 지옥이네예., 이별 지옥인가 보네예.
아 혼자 있는 게 너무 무섭네예, 내가 있어드릴게예.
아! 우째 해야 되나, 내한테 말해 보이소.
아. 상담 좀 해 주이소, 예. 알겠습니다.
아. 힘든 목요일이네예, 곧 주말이 올 끼라예.
아. 벌받고 있는 기네, 달게 받으이소.
아. 빌어먹을 인제야 알다니., 인제라도 깨달았으니 더 이상의 실수는 없을 끼라예.
아인 긴 아이다, 아인 긴 아이다.
아따 엿 먹일 방법 없나, 증오는 부메랑이 되어 돌아올 끼라예.
아련하게 쪼매씩 잊게 되나 보네예, 그리 잊어가는 건가 보네예.
아름다운 사랑도 아이고 이건 뭐., 아름다운 이별도 없다 아입니꺼.
아름다운 이별은 없는 긴가 ㅠㅠ, 이별은 아름답지 않지예.
아름답게 헤어지고 회사 그만둔 전 남친, 아름다운 이별은 존재하지 않아요.
아무것도 할 수 없는, 아이다 아입니꺼.
아무것도 아닌 글에 화가 치밀어 오르네예, 심호흡 하이소.
아무것도 아닌 일이 될 수 있을까, 아무것도 아닌 일이 되는 날이 올 끼라예.
아무것도 안 되네예, 잘될 끼라예.
아무것도 하기 싫어, 나도예.
아무도 안 놀아줘, 혼자도 좋다 아입니꺼.
아무래도 헤어져야 할까 보네예, 고민하고 있다믄 그게 맞을 끼라예.
아무리 기다려도 인젠 안 돌아오나 보네예, 그게 끝이라믄 받아들여야 해요.
아무리 꽉 붙들어도 무너지는 건 한순간, 사람 맴이 간사하지예.
아무리 매달려도, 돌아서지 않을 수 있어요.
아무리 미친놈 욕을 해도, 그리워지나예.
아무리 생각 안 하려 해도, 눈앞에 선연하기도 해요.
"아무리 힘들어도, 밥은 먹히더라고요", 먹고 살아야지예.
아무 일도 없었던 것처럼 살고 싶어, 천천히 잊혀질 끼라예.
아이고 그놈의 꿈, 맴대로 꿈을 꿀 수 있으믄 좋을 낀데 말이지예.
아이디 생각 안 나, 회원정보 찾기를 해보이소.
아직 그리운 그대, 인젠 기억을 놓아주이소.
아직 멀었나 보네예, 지 자신한테 시간을 더 주이소.
아직 아주 마이 사랑하는데 나는 말이지예, 그분도 그랬을 끼라예.
아직 준비가 안 됐는데예., 받아들일 때가 되었나 보네예.
아직도 가슴이 아프고 눈물이 나네예, 스스로 따뜻하게 감싸주이소.
아직도 그대로인 걸, 변하는 건 사랑이겠지예.
아직도 기억 속에 생생한데, 사랑은 희미해져 가네예.
아직도 꿈같고 너무 괴로워, 한동안은 그럴지도 몰라예.
아직도 남았나 보네예, 미련이 남지 않았길 바란다.
아직도 너무 힘듭니더., 아무렇지도 않은 날이 올 끼라예.
아직도 널 감싸는 내가 싫다., 지 자신도 따뜻하게 감싸주이소.
아직도 눈물 나, 토닥여주고 싶네예.
아직도 마이 죽을 거 같아, 잠깐 쉬어가도 괜찮아요.
아직도 멍청하네예, 지 자신을 비난하지 마이소.
아직도 심장이 뛰고 있어예., 심장은 항상 뛴다 아입니꺼.
아직도 이별 중인가 보네예., 이별의 끝일지도 몰라예.
아직도 잊지 몬 하나 보네예, 지 자신한테 시간을 더 주이소.
아직도 잊지 몬 하는 사람, 한없이 사랑한 사람이었나 보네예.
아직도 잊지 몬 했는가 보네예, 한없이 사랑한 사람이었나 보네예.
아직도 잊혀지지 않아, 시간이 걸리려나 보네예.
아직도 적응이 안 되네예, 익숙해지는 데는 시간이 걸려요.
아직도 헷갈리네예, 직감을 믿으이소.
아직도 힘들지만., 이겨낼 끼라 믿어예.
아직도. 아직인 가 보네예., 곧 끝날 끼라예.
아직도 잊지 몬 했던 긴교, 문득 생각날 때가 있어요.
아직은 아인 것 같은데, 언젠간 올 순간이었을 끼라예.
아침마다 와 이러는지, 가벼운 운동하믄서 기분 전환해 보이소.
아침부터 답답하네예, 가벼운 운동하믄서 기분 전환해 보이소.
아침부터 또 눈물이 나네예, 따뜻한 물 마시고 진정해 보이소.
아침에 눈 뜨는 기 힘들어, 그분 생각에 잠을 설쳤나 보네예.
아침에 벌떡 일어났네예., 안 좋은 꿈이라도 꿨나 보네예.
아침이 제일 힘드네예, 차라리 꿈이었음 좋겠어예.
아파, 아프지 않았으믄 좋겠어예.
아프고 또 아프지만, 아스피린 한 알 먹어 보이소.
아프고 힘드네예, 진통제 한 알 먹어 보이소.
아프네예, 지쳐서 그런가 보네예.
아프니께 더 생각나고 힘드네예, 아플 때는 더 약해지나 보네예.
아파, 쪼매만 아팠으믄 좋겠어예.
"아프지 않은 이별은 없지만, 헤어지는 기 답인 관계는 있더라고요.", 만남의 끝을 아는 기도 중요한가 보네예.
아픈 상처, 약이 없는 상처인가 보네예.
아픈 첫사랑, 첫사랑니의 고통처럼 시린가 보네예.
아픈데 연락하기 싫어, 내가 곁에 있을게예.
아픔도 인젠 안녕, 슬픔도 인젠 안녕.
아픔은 덜해지는 것 같은데 미련은 더욱 마이 지네예, 미련 없는 사랑은 없나 보네예.
아픔은 빨리 잊혀지는 법, 그렇다믄 정말 다행이라예.
아픔을 지니고 사랑한다는 것, 언제까지 숨길 수는 없을 끼라예.
아휴., 에휴.
아휴~ 싱숭생숭한 하루, 그러게 말이라예. 오늘 하루 맴이 복잡했나 보네예.
안 돌아올 거 아는데, 기다리지 마이소.
안 맞다 카믄서 헤어진 우리, 인연이 거기까지인 가 보네예.
안녕을 고하믄서, 잘 보내줬나예.
안녕하세예, 안녕하세요.
알고 보이 나만 바보네예, 너무 자책하지 마이소.
알고 보이 환승 이별인 거 같아, 사랑의 예의가 없네예.
알 수가 없네예., 맴을 알 길이 없지예.
앞으로 힘든 시간 될 거 같습니더, 바로 잊기 힘들겠지만 시간은 흐르고 다시 사랑은 찾아올 끼라예.
앞이 캄캄합니더ㅠㅠ, 지 자신한테 위로를 건네주이소.
애를 내 혼자 키우는 거 같아, 힘 빠지는 이야기네예.
애인이 생겼다카네예., 신경 쓰이긴 하지만 무시하는 기 좋겠어예.
야, 예.
야 너!, 예.
야구 경기 보러 꼭 함께 가자 카던 그 남자, 더 좋은 사람이랑 가이소.
야이 겁나게 미운 여자야!!, 기분이 좀 풀렸길 바란다.
약 올라, 더 잘 살믄 된다 아입니꺼.
약 한 달 전 헤어진 그에게, 연락할 생각 하지 마이소.
양가 부모가 원하지 않는다믄, 부모님들이 원하지 않는 이유가 있겠지예.
양다리, 헤어지이소.
양다리? 어장 관리?, 아인 길 바랄게예.
얘는 싸우기만 하믄 연락이 안 되네예, 혼자 풀릴 때까지 놔둬야 하는 긴데 기다리는 기 힘들 끼라예.
어느덧 이별 5주차, 힘든 시간 잘 버텨냈다 아입니꺼.
어느덧 한 달., 힘든 시간 잘 견뎌냈다 아입니꺼.
어느덧 헤어진 지 4개월이 됐네예, 시간은 흐르고 다시 사랑이 올 끼라예.
어느새 나이가 30이네예., 새로 시작하기 딱 좋은 나이네예.
어느새 한 달인 데, 달라진 모습을 보여주이소.
어느새 헤어진 지 한 달, 짧진 않은 시간이라예.
어디까지 가야 끝이 보일지, 끝은 눈에 보이지 않아 더 힘들지예.
어디론가 훌쩍 떠나고 싶다, 이 김에 떠나 보이소.
어디서부터 우째 이야기를 해야 할지., 차분히 이야기해 봐요. 언제나 여기 있을게예.
우째야 할까, 우째 하믄 좋을까예.
우째, 내가 할 수 있는 건 도와드릴게예.
우째 해야 될 긴가?, 무슨 일인지 말씀해 주이소.
"어떤 날도, 어떤 말도", 위로가 되지 않을 때가 있어요.
어떤 놈인지 확인하고 싶으믄 이상한 긴가, 확인하고 싶은 맴은 자연스러운 기라예.
어떤 맴이었을까?, 가볍진 않았을 끼라예.
어떤 맴인 긴가, 사람 맴을 알 길이 없나 보네예.
어떤 작별일지, 이별에 척도를 두지 마이소.
우째 나한테 이러지, 인연이 거기까지인가 보네예.
우째 맴 정리를 할까?, 열심히 하루하루를 살아가다 보이 정리가 될 끼라예.
우째 벌 줘야 할까., 그대로 돌아올지도 몰라예. 그저 무시하이소.
우째 살아가야 할까, 태연하게 시작해 보이소.
우째 하믄 좋을까., 고민이 되시겠어예.
우째 하믄 좋을까, 고민이 되시겠어예.
우째 해야 맴을 돌릴 수 있나, 더 늦지 않게 연락해 보는 기 어떨까예. 그리고 진심을 전해 보이소.
우째 해야 여자친구가 내 진심을 알아줄까, 달라진 모습을 보여주이소.
우째 해야 하는 긴교, 답답하신가 보네예.
우째 해야 할까?, 잠시 차분하게 생각해 봐요.
우째 해야 되나?, 우째 도와드리믄 좋을까예.
우째 헤어지노, 생각한 대로 전하믄 될 거 같아예. 상처는 주지 마이소.
우째 헤어져야 할지 몬 알겠어예, 생각한 대로 전하믄 될 거 같아예. 상처는 주지 마이소.
우째 받아들여야 할까?, 때론 이해할 수 없는 일이 마이 나요. 그저 수긍할 뿐이라예.
우째 하모? 이 상황을, 잠깐 눈을 감고 차분하게 받아들여요.
우째 해야 할까, 어떤 선택을 하든 잘 할 수 있을 끼라예.
어려운 일, 특히나 사랑은 그래예.
어렵네예, 쉽지 않을 끼라예.
어리석은 나, 모두가 사랑 앞에 어리석게 변해요.
어이없는 헤어짐, 예상하지 몬 한 이별이었네예.
"어이없는 연애? 끝난 긴가, 진행 중인 긴가.", 언젠간 선택을 해야 할 거 같아예.
"어제 결국 또 톡 보내버렸네,", 달라지지 않는다믄 연락은 하지 마이소.
어제 그녀를 또 봤어예., 마이 놀랐겠어예.
어제 꿈에 나온 너., 그리워했나 보네예.
어제 만났네예., 좋은 만남이었길 바라요.
어제 만났어예, 충분히 대화를 나눴길 바랍니다.
어제 비 오는 창가를 바라보다 문득 네 생각났어예, 비가 오는 날은 맴이 싱숭생숭하지예.
어제 새벽에 그녀한테 전화가 왔다 아입니꺼, 심경의 변화가 있었을지도 모르겠네예.
어제 새벽에 이별했어예., 한동안 힘들겠어예.
어제 연락 왔는데 또 상처 줘서 또 헤어졌어예ㅠㅠ, 지 자신이 가장 중요하니까예.
어제 연락이 왔어예. 내가 매달려서 온 거 같아, 정말 잊었다믄 연락 오지 않았을 끼라예.
어제 연락했는 데ㅋㅋ, 말씀해 보이소.
어제 오늘 멘탈이 나갔네예, 그럴 만해요.
어제 이별했다 아입니꺼., 맴이 복잡하겠어예.
어제 이별을 했는데 진짜. 어이가 없네예., 생각지 몬 했던 이별이었나 보네예.
어제 이별을 했다 아입니꺼, 허전하시겠어예.
어제 이별하고 맴이 너무 아파, 토닥토닥. 내가 위로해줄게예.
"어제 이별했고, 잡고 싶은데 도와주이소", 일단 늦지 않게 연락을 해보는 기 어떨까예.
어제 정말 사랑한 그녀하고 헤어졌다 아입니꺼., 울어도 돼요. 잠시 쉬어가요.
어제 정말로 완전히 보냈다 아입니꺼, 그동안 힘들었지예.
어제 헤어졌다 아입니꺼, 토닥토닥. 내가 위로해줄게예.
어제 헤어졌어예, 힘껏 울고 천천히 털어내길 바랄게예.
어제 헤어지자 캤어예., 고민 마이 했을 끼라 생각해요.
어제 헤어진 여자친구 연락 왔다고 글 썼는데예ㅋㅋ, 좋은 연락이었길 바랍니다.
어제 헤어진 여친 학교 다녀왔어예., 남의 학교 인제 가지 마이소.
어제가 극에 달했는 데, 지금은 좀 괜찮아졌길 바랄게예.
어제가 생일이었는 데예., 챙겨주지 몬 해 미안해하지 마이소.
어제는 그녀의 결혼식., 인젠 그녀를 잊어주이소.
어제하고 오늘 문득문득 생각에 눈물을 흘립니더., 눈물 닦아주고 싶네예.
어제 이별한 남자입니더, 마이 괴로웠을 끼라 생각해요.
어제 전화가 왔다 아입니꺼, 기다리던 전화였나 보네예.
어젯밤 꿈에 나타났다 아입니꺼, 은연중에 생각을 했나 보네예.
어젯밤 꿈을 꿨어예, 어떤 꿈이었나예.
어젯밤 집 앞에서 잠깐 만났어예., 맴이 복잡하겠어예.
어젯밤. 헤어졌던 여자친구한테 전화가 왔어예., 맴이 복잡하겠어예.
어젯밤에 1주일 전 헤어진 여자친구 집에 찾아갔다 왔다 아입니꺼., 헤어지고 만나는 건 서로한테 좋지 않아요.
어젯밤에 판도라의 상자를 열어버렸네예, 건들지 않는 편이 좋았을 끼라예.
와 그래예, 와 그럴까예.
우째야 할까, 너무 복잡하게 생각하지 마이소.
우째믄 좋을까?, 내가 도와줄게예.
우째지예, 우째믄 좋을까예.
어쩔 수 없겠지예, 어쩔 수 없는 일도 있을 끼라예.
어쩔 수 없는, 어쩔 수 없는 일이었을지도 몰라예.
우째 해야 될까?, 우째 하믄 좋을까예.
우째 해야 하나., 우째 하믄 좋을까예.
우째 해야 할까, 차분히 생각해 봐이소
억울한 현실, 현실은 맨날 괴롭게 하는 기라예.
억지로 붙여놓은 깨진 도자기, 언제 깨질지 몬 알겠어예.
억지로 붙였던 깨진 도자기의 결말, 당장 내일 일도 예측할 수 없는 기다 아입니꺼.
언젠가 내 이야기 한번 들어줄 날이 오겠지예?, 내가 들어드릴게예.
언제까지 덮을 수 있을까?, 맴을 풀어주는 음악을 들어 보이소.
언제까지 이리 잊지 몬 하고 힘들기만 할까, 모든 이별은 힘든 기다 아입니꺼.
언제부터인지., 언제부터인지 모르게.
언제쯤 괜찮아지려나, 온전히 행복할 날이 올 끼라예.
언제쯤 괜찮아질런지., 언젠간 괜찮아질 끼라 믿어예.
언제쯤 무뎌질까, 무뎌지는 순간이 올 끼라 믿어예.
언제쯤 벗어날 수 있을까, 우리한테 달려있을지도 몰라예.
언제쯤 이뿌게 화장 잘할까, 하다 보이 늘어예.
언제쯤 이 끈을 놓아야 할까. 지금일까.?, 달라지지 않는다믄 빠를수록 덜 힘들 끼라예.
언제쯤 잊혀질까, 쉽지는 않을 끼라예.
"언제쯤 잊혀질런지,,", 생각을 몬 할 수 있으믄 좋을 낀데 말이지예.
언제쯤 편히 잠들 수 있을까?, 생각을 몬 할 수 있으믄 좋을 낀데 말이지예.
언제쯤이면 여기를, 벗어날 수 있을 끼라예.
언젠가 나아지겠지예?, 나아질 끼라예.
언젠가 마주치더라도 너만 보일 끼라예., 그만큼 사랑했던 사람이니께예.
언젠가 하는 기지예, 언젠간 할 끼라예.
언젠가는 끝, 끝은 항상 존재하니께예.
언젠간 내 기억 속에서 서서히 지워지겠지예., 모든 것을 기억할 수는 없으니께예.
언젠간 먼저 연락 오겠지예?, 붙잡고 싶다믄 먼저 연락해 보이소.
언젠간 모두 잊고, 언젠간 그 순간이 올 끼라예.
얼마나 더 지나야 아물런지, 이별에는 면역이 잘 안 되나 보네예.
얼마나 지나야 잊혀지나?, 쉽지는 않겠지만 시간이 해결해줄 끼라 믿어예.
얼마만큼 사랑을 받으셨나예??, 사랑을 가늠하지 마이소.
얼마 전에 욕 이빠이 하고 다 끝냈는 데., 미련이 남지 않았길 바란다.
엄마 아빠랑 다시 같이 살아야 된다카네예, 형편대로 하이소.
업무 스트레스 너무 심해예, 회사는 스트레스의 원인이지예.
엉엉 우는 꿈 꿨어예, 심난했겠어예.
에궁, 자세히 말해 주이소.
에라이!!!, 자세히 말해 주이소.
에이구 인제 그만 돌아와. 인제 그만 울고., 붙잡고 싶다믄 먼저 연락해 보는 기도 좋을 끼라예.
에혀 힘드네예, 쉬운 일이 아이긴 해예.
에휴, 힘든 일이 있었나 보네예.
에휴 잊기가 힘드네예, 사람을 잊는 데는 마이 시간이 필요한가 보네예.
에휴 추억을 지우네예, 기억의 편린일 뿐이라예.
에휴 후폭풍인가 보네예, 이별에는 항상 후유증이 있어요.
에휴., 아이구.
에휴. 와 그래 머릿속에서 계속 맴돌까, 사랑했던 사람이니께예.
여기 글들을 보니께, 쪼매 공감이 되길 바랍니다.
여기까지인 듯 합니더., 언젠가는 올 순간이었을 끼라예.
여러 번 재회 그리고 헤어짐, 마이 지쳤을 끼라예.
여러분 내가 느낀 바입니더, 사람들이 공감할 끼라예.
여섯 번째 이별이라예, 마이 순간들이 있었겠네예.
여자친구랑 헤어진 지 23일째., 헤어짐을 헤아리지 마이소.
여자가 떠나기 전 하는 준비, 누구든 맴의 정리가 필요한 기겠지예.
여자는 한번 맴 먹으믄 끝인 기가?, 누구든 깊은 상처에는 단호해질 끼라예.
여자들은 바람피우고 후회할까?, 누구든 사람에 따라 다르겠지예.
여자사람 친구 마이 남자친구 헤어져야겠지예?, 헤어져야 하는 긴 아이다만 신경이 쓰일 거 같아예.
여자친구 같았던 썸녀, 먼저 고백해 보이소.
여자친구 만나고 왔어예~, 좋은 만남이었길 바랍니다.
여자친구 무시했다가 이별 당했습니더., 남을 질타하믄 그 기는 언젠간 지 자신한테 돌아와요.
여자친구 붙잡는다고 모든 걸 쏟아붓고 있습니더, 부디 돌아오길 바랄게예.
여자친구가 나 땜에 힘들다카네예, 좀 더 잘해 주이소.
여자친구가 와 내하고 헤어졌는지 아직도 몬 알겠어예, 충분히 표현해 왔을 끼라예.
여자친구랑 헤어졌네예, 힘들었겠어예.
여자친구와 이별한 지 정확히 1년이 되는 날이네예, 인젠 기억을 접어 두이소.
여자친구와 헤어지고 세운 목표들, 목표를 하나씩 이뤄가길 바랍니다.
여자친구와 헤어진 지 8일, 금방 지나갈 끼라예.
"여자친구와 헤어진 지 어느덧 6개월이네,,", 생각보다 긴 시간이 흘렀어예.
여자친구와의 헤어짐을 막고 싶어, 그녀한테 진심을 전해 보이소.
여자친구의 거짓말, 변명이었을까예.
여전히 괴롭다, 이별은 몹시도 괴로우니께예.
여쭤볼 기 있습니더, 말씀해 보이소.
여친 집에 있는 내 물건들이 돌아왔네예, 속상했겠어예.
여친 폰 번호 기억 몬 하나?, 언젠간 잊혀지더라고요.
여친하고 갈 때까지 가믄 질리나, 질리는 긴 아이고 지칠 끼라예.
여친하고의 이별, 쉽지 않았을 낀데예.
여친이 드디어 권태기가 온 거 같아예., 그런 시기가 있더라고요.
여친이 찾아올 끼라 카는 희망 고문, 헛된 희망은 빨리 버릴수록 덜 괴로워예.
여친이랑 다툼, 충분히 대화를 나눠 보이소.
여친이랑 헤어진 지 1년짼데 아직도 몬 잊네예., 언젠간 결정을 내려야 하는 시기가 올 끼라예.
여친 집에 찾아가고 싶은데 우째 하모?, 우째든 참는 기 좋을 끼라예.
여행이라도 가고 싶다, 이 김에 떠나 보이소.
역시 몬 잊겠습니더., 영원한 아픔은 없을 끼라예.
역시 재회는 힘들어, 한켠에 상처가 있을 테니께예.
역시나. 후폭풍이 밀려왔네예, 이별 앞에 자유로울 사람은 없을 끼라예.
연락 마라꼬 모질게 했다카네예 결국, 언젠가는 해야 할 선택이었을 뿐이라예.
연락 몬 하는 아픔., 당분간은 힘들지 몰라예.
연락 안 돼서 헤어졌는 데 또 연락 기다리고 있네예, 인젠 당신을 돌보이소.
연락 안 하고 가만히 있는 기 맞는 긴가?, 후회할 거 같다믄 먼저 연락해 보이소.
연락 왔는 데 끝냈어예, 언젠간 올 순간이었을 끼라예.
연락 올까?, 너무 기대하지 마이소.
"연락 왔는 데, 진짜 미칠 거 같네예", 다시 헤어진 그 때로 돌아간 느낌이지예.
연락은 괜히 해서, 더 심란한가 보네예.
연락을 하믄 안 되는 기라, 인제부터 안 하믄 된다 아입니꺼.
연락을 해 봤는 데 안 받네예., 인연이 거기까지인가 보네예.
연락을 기다려야 하나? 아인믄 찾아가야 하나?, 기다리지도 찾아가지도 마이소.
연락이 없네예, 이별의 끝일지도 몰라예.
연락 죽어도 안 올 낀데 매일 기다려, 변해야 할 시기를 놓친 기일 수도 있어예.
연락처 좀 바꿔 주이소, 기억에서 지울 수는 없지만 최대한 생각 마이 보이소.
연락하고 싶어, 좀 참는 건 어떨까예.
연락하고 싶은 충동, 자제하는 기 당신을 위해 좋을 끼라 생각해요.
연락하고 지내는데예, 연락하믄 더 힘들 수도 있어예.
연락하믄 후회할까, 달라지는 기 없다믄 후회할 끼라예.
연락하지 마라 캤어예, 때로는 단호한 기 필요한 기다 아입니꺼.
연락해 보고 싶네예, 안 하는 편이 좋을 거 같아예.
연락해 보는 기 좋을까, 안 하는 편이 좋을 거 같아예.
연락했는데예, 후회할 행동은 하지 마이소.
연락했는데 실수한 거 같네예, 앞으로는 실수 안 하믄 된다 아입니꺼.
연말이라 그런가, 외롭겠지만 즐겁게 보내 보이소.
연상녀랑 어제 헤어졌다 카네예, 정신이 없겠네예.
연애 관계도 망, 그리 배우는 기다 아입니꺼.
연애 중 주고받았던 문자 다시 보믄 눈물이 나네예, 그분하고의 모든 흔적을 지우는 기로 이별을 받아들이이소.
연애 2년차. 헤어졌다 아입니꺼., 긴 시간이었던 만큼 쉽지 않았을 끼라 생각해요.
연애하는 기도 기술이 필요한가 보네예, 기술보단 서로한테 자연스럽게 물들어 가는 과정이 아닐까 생각해 봅니더.
연차 내고 누워만 있네예, 때론 쉬어가는 기도 필요해요.
연하 남자친구하고 이별 후 5일째라예., 아직 허전할 끼라예.
연휴, 터닝포인트가 되길 바랄게예.
연휴가 시작되고 나니 더 생각나네예, 그분하고 함께했던 나날이었을 테니께예.
열받아서 막 전화에다가 화풀이했어예, 속이 좀 풀렸길 바란다.
영원한 사랑은 없는 긴가, 만남이 있으믄 이별도 있으니께예.
예전 직장 선배 언니가 해준 이야기가 생각나네예., 무슨 이야기였나예.
오늘 6년이란 시간을 정리했다 아입니꺼., 오랜 시간이 걸린 만큼 미련도 없을 끼라예.
오늘 간신히 참았어예, 오늘도 잘 견뎌냈다 아입니꺼.
오늘 그 사람 생일이네예, 생각날 수밖에 없다꼬 생각해요.
오늘 꿈에서 그녀가 먼저 카톡 해줬어예, 계속 바라던 일인가 보네예.
오늘 너무 힘드네예, 오늘은 힘내려 하지 마이소. 내한테 기대이소.
오늘 다 끝냈다 아입니꺼., 언젠간 올 순간이었을 끼라예.
오늘 다시 만나 보이 정리가 될 거 같아, 잘된 일이라예.
오늘 다시 한번 확인 사살 받고 왔네예ㅠㅠ, 언젠간 닥쳐올 순간이었을 끼라예.
오늘 더 힘이 드네예, 그만큼 마이 성장하려 하나 보네예.
오늘따라 그 친구가 좀 보고 싶네예, 여느 때보다 더 힘든 날이었나 보네예.
